participant,type,exp_cnt,test,conf,ans,real_ans,res,te_time,conf_time,total_time,,XO,OX,OO,XX,,
dongik,pre,1,1,2,3,2,0,53.73467183,9.02444315,0,,,,,,,
dongik,pre,1,2,2,4,5,0,79.66602206,2.073506832,0,,,,,,,
dongik,pre,1,3,3,1,1,1,58.09459996,1.575358152,0,,,,,,,
dongik,pre,1,4,1,4,2,0,61.31114197,2.088471889,0,,,,,,,
dongik,pre,1,5,1,2,1,0,66.65711498,1.472333193,361.7536352,,,,,,,
dongik,post,1,1,5,4,4,1,58.77206397,1.696397066,0,XO,1,0,,,1,
dongik,post,1,2,3,2,2,1,109.39678,2.369549036,0,XO,1,0,,,1,
dongik,post,1,3,4,2,2,1,116.4394789,3.153458118,0,OO,0,0,1,0,1,
dongik,post,1,4,4,3,3,1,48.46115804,1.200271845,0,XO,1,0,,,1,
dongik,post,1,5,4,2,4,0,32.96446609,1.456744909,393.7380929,XX,0,0,0,1,1,
dongik,pre,2,1,4,1,4,0,28.53246999,1.719391823,0,,,,,,,
dongik,pre,2,2,5,4,4,1,16.95486212,1.648976088,0,,,,,,,
dongik,pre,2,3,3,4,5,0,26.01088285,4.76828599,0,,,,,,,
dongik,pre,2,4,3,3,3,1,55.60759711,1.921438932,0,,,,,,,
dongik,pre,2,5,3,4,5,0,82.94278693,1.868426085,244.9815321,,,,,,,
dongik,post,2,1,5,1,4,0,20.99077392,1.695384026,0,XX,0,0,0,1,1,
dongik,post,2,2,5,3,3,1,25.84428906,1.368309975,0,OO,0,0,1,0,1,
dongik,post,2,3,3,1,1,1,41.00429201,1.568445921,0,XO,1,0,,,1,
dongik,post,2,4,4,5,5,1,22.85980296,1.415923119,0,OO,0,0,1,0,1,
dongik,post,2,5,3,1,4,0,60.0395999,1.511591196,197.9953551,XX,0,0,0,1,1,
dongik,pre,3,1,5,3,3,1,66.51006603,1.422330856,0,,,,,,,
dongik,pre,3,2,4,4,1,0,18.92328811,1.408318996,0,,,,,,,
dongik,pre,3,3,4,4,4,1,41.20633507,1.910437822,0,,,,,,,
dongik,pre,3,4,4,5,5,1,82.39366508,2.303836107,0,,,,,,,
dongik,pre,3,5,2,2,4,0,33.31654692,1.864496946,275.1037428,,,,,,,
dongik,post,3,1,3,4,1,0,31.57865882,1.512029171,0,OX,0,1,,,1,
dongik,post,3,2,3,1,3,0,48.87006998,1.58436203,0,XX,0,0,0,1,1,
dongik,post,3,3,4,4,4,1,72.44782591,1.656377077,0,OO,0,0,1,0,1,
dongik,post,3,4,5,4,4,1,59.78381801,1.375413895,0,OO,0,0,1,0,1,
dongik,post,3,5,5,3,3,1,9.316112041,1.383744001,249.8881311,XO,1,0,,,1,
dongik,pre,4,1,4,4,4,1,41.87007308,1.912432909,0,,,,,,,
dongik,pre,4,2,2,5,4,0,43.62103415,1.528347015,0,,,,,,,
dongik,pre,4,3,3,3,3,1,29.26662779,1.775407076,0,,,,,,,
dongik,pre,4,4,1,4,1,0,69.62077498,1.984591007,0,,,,,,,
dongik,pre,4,5,4,2,2,1,39.99556208,1.621836901,297.375603,,,,,,,
dongik,post,4,1,4,2,5,0,66.75158787,1.416041136,0,OX,0,1,,,1,
dongik,post,4,2,4,5,5,1,90.03685284,2.695610046,0,XO,1,0,,,1,
dongik,post,4,3,4,2,3,0,45.63033605,2.143964052,0,OX,0,1,,,1,
dongik,post,4,4,4,1,1,1,28.91581488,1.759397984,0,XO,1,0,,,1,
dongik,post,4,5,5,1,1,1,17.07687211,1.504342079,325.8047981,OO,0,0,1,0,1,
dongik,pre,5,1,3,2,2,1,22.17803907,3.072831869,0,,,,,,,
dongik,pre,5,2,2,2,1,0,57.03108001,3.360767126,0,,,,,,,
dongik,pre,5,3,4,4,5,0,31.3400979,1.232279062,0,,,,,,,
dongik,pre,5,4,4,2,3,0,31.98824692,1.504339933,0,,,,,,,
dongik,pre,5,5,1,4,3,0,56.26271105,1.368343115,226.984374,,,,,,,
dongik,post,5,1,3,1,1,1,24.71184802,2.50383997,0,OO,0,0,1,0,1,
dongik,post,5,2,2,4,4,1,44.96524715,1.984450817,0,XO,1,0,,,1,
dongik,post,5,3,3,5,5,1,48.36693215,2.615768909,0,XO,1,0,,,1,
dongik,post,5,4,4,3,4,0,55.15099597,1.561352968,0,XX,0,0,0,1,1,
dongik,post,5,5,4,4,4,1,69.83282709,2.144484997,403.2720609,XO,1,0,,,1,
jihee,pre,1,1,1,4,2,0,42.31759691,5.464238167,0,,,,,,,
jihee,pre,1,2,3,4,5,0,65.48683596,3.048564911,0,,,,,,,
jihee,pre,1,3,3,1,1,1,60.75276208,2.863651991,0,,,,,,,
jihee,pre,1,4,1,2,2,1,102.303268,2.640602112,0,,,,,,,
jihee,pre,1,5,5,5,1,0,59.58149695,1.641371965,404.72715,,,,,,,
jihee,post,1,1,4,4,4,1,87.08408499,2.873154879,0,XO,1,0,,,1,
jihee,post,1,2,5,2,2,1,73.51325202,1.440551996,0,XO,1,0,,,1,
jihee,post,1,3,5,1,2,0,311.8066301,1.855359077,0,OX,0,1,,,1,
jihee,post,1,4,5,4,3,0,71.56420994,1.967941999,0,OX,0,1,,,1,
jihee,post,1,5,4,5,4,0,182.6864491,2.840054989,754.6502581,XX,0,0,0,1,1,
jihee,pre,2,1,3,4,4,1,64.99972582,2.128486156,0,,,,,,,
jihee,pre,2,2,5,5,4,0,26.77106404,1.969443798,0,,,,,,,
jihee,pre,2,3,4,4,5,0,29.10168505,2.151488066,0,,,,,,,
jihee,pre,2,4,3,4,3,0,111.908349,2.120481968,0,,,,,,,
jihee,pre,2,5,4,2,5,0,84.82722402,2.049463034,442.3118072,,,,,,,
jihee,post,2,1,5,4,4,1,69.29669905,2.178497076,0,OO,0,0,1,0,1,
jihee,post,2,2,5,1,3,0,28.22139287,1.56667614,0,XX,0,0,0,1,1,
jihee,post,2,3,4,2,1,0,47.73381305,2.72862196,0,XX,0,0,0,1,1,
jihee,post,2,4,5,5,5,1,33.78069186,1.631958008,0,XO,1,0,,,1,
jihee,post,2,5,5,4,4,1,45.08547211,2.273139,251.0389709,XO,1,0,,,1,
jihee,pre,3,1,5,3,3,1,140.1391549,2.159488916,0,,,,,,,
jihee,pre,3,2,5,4,1,0,44.39105511,2.159488916,0,,,,,,,
jihee,pre,3,3,5,4,4,1,60.92021918,1.505361795,0,,,,,,,
jihee,pre,3,4,5,5,5,1,130.3525281,1.695384026,0,,,,,,,
jihee,pre,3,5,4,4,4,1,93.63721108,1.927245855,706.105818,,,,,,,
jihee,post,3,1,4,1,1,1,74.59499383,1.76823616,0,OO,0,0,1,0,1,
jihee,post,3,2,3,1,3,0,129.600528,2.713617802,0,XX,0,0,0,1,1,
jihee,post,3,3,5,4,4,1,80.69155812,2.60758996,0,OO,0,0,1,0,1,
jihee,post,3,4,5,4,4,1,97.08499599,1.798407078,0,OO,0,0,1,0,1,
jihee,post,3,5,5,3,3,1,28.49445605,1.4483428,534.8050098,OO,0,0,1,0,1,
jihee,pre,4,1,3,4,4,1,113.9197202,2.887652874,0,,,,,,,
jihee,pre,4,2,5,4,4,1,99.4906671,2.440879822,0,,,,,,,
jihee,pre,4,3,5,3,3,1,57.88854098,2.367540121,0,,,,,,,
jihee,pre,4,4,2,1,1,1,149.1819091,3.808951855,0,,,,,,,
jihee,pre,4,5,4,5,2,0,29.76374602,1.936439991,482.6988931,,,,,,,
jihee,post,4,1,5,5,5,1,90.86058712,1.76791501,0,OO,0,0,1,0,1,
jihee,post,4,2,4,5,5,1,134.8974109,3.008682013,0,OO,0,0,1,0,1,
jihee,post,4,3,5,2,3,0,82.73829794,1.657075167,0,OX,0,1,,,1,
jihee,post,4,4,5,1,1,1,69.94868088,1.763744116,0,OO,0,0,1,0,1,
jihee,post,4,5,5,1,1,1,35.09294891,2.338530064,492.4884751,XO,1,0,,,1,
jihee,pre,5,1,4,3,2,0,39.23126984,1.66437912,0,,,,,,,
jihee,pre,5,2,5,2,1,0,52.29084587,1.783404112,0,,,,,,,
jihee,pre,5,3,4,4,5,0,96.865942,1.799411058,0,,,,,,,
jihee,pre,5,4,2,4,3,0,35.76445603,1.591347933,0,,,,,,,
jihee,pre,5,5,1,1,3,0,35.184026,3.481788874,356.031389,,,,,,,
jihee,post,5,1,4,1,1,1,36.01451993,2.653594017,0,XO,1,0,,,1,
jihee,post,5,2,3,5,4,0,57.04692292,2.952429056,0,XX,0,0,0,1,1,
jihee,post,5,3,5,5,5,1,12.67387104,1.767604113,0,XO,1,0,,,1,
jihee,post,5,4,5,2,4,0,59.56349492,2.428910017,0,XX,0,0,0,1,1,
jihee,post,5,5,5,4,4,1,39.80947995,1.439328909,332.5814738,XO,1,0,,,1,
myounghun,pre,1,1,2,1,2,0,138.3046381,5.449239969,0,,,,,,,
myounghun,pre,1,2,3,1,5,0,42.06833887,1.761089087,0,,,,,,,
myounghun,pre,1,3,2,2,1,0,68.31319499,2.343809128,0,,,,,,,
myounghun,pre,1,4,3,5,2,0,87.89992285,2.05846715,0,,,,,,,
myounghun,pre,1,5,1,2,1,0,78.39423895,1.647379875,476.0895128,,,,,,,
myounghun,post,1,1,5,4,4,1,33.32354808,2.040291786,0,XO,1,0,,,1,
myounghun,post,1,2,5,2,2,1,60.43769121,2.367972851,0,XO,1,0,,,1,
myounghun,post,1,3,5,1,2,0,110.2061121,2.953671932,0,XX,0,0,0,1,1,
myounghun,post,1,4,5,3,3,1,48.85339689,1.785403967,0,XO,1,0,,,1,
myounghun,post,1,5,5,4,4,1,69.4660902,2.584589958,529.7320092,XO,1,0,,,1,
myounghun,pre,2,1,2,4,4,1,78.24766588,1.680611134,0,,,,,,,
myounghun,pre,2,2,4,4,4,1,32.84487391,1.405779123,0,,,,,,,
myounghun,pre,2,3,4,5,5,1,42.68767381,1.720395088,0,,,,,,,
myounghun,pre,2,4,2,5,3,0,94.80363297,2.328527927,0,,,,,,,
myounghun,pre,2,5,1,5,5,1,105.6379292,2.563579798,386.3772449,,,,,,,
myounghun,post,2,1,5,4,4,1,73.8507309,1.343305111,0,OO,0,0,1,0,1,
myounghun,post,2,2,5,3,3,1,18.63522601,1.784878016,0,OO,0,0,1,0,1,
myounghun,post,2,3,5,1,1,1,40.92527795,1.951411963,0,OO,0,0,1,0,1,
myounghun,post,2,4,5,5,5,1,24.98768806,2.039461851,0,XO,1,0,,,1,
myounghun,post,2,5,5,4,4,1,40.33579016,1.368432999,321.3517001,OO,0,0,1,0,1,
myounghun,pre,3,1,5,3,3,1,80.81930709,2.903659821,0,,,,,,,
myounghun,pre,3,2,4,1,1,1,30.59593105,1.760405064,0,,,,,,,
myounghun,pre,3,3,3,4,4,1,49.76027203,1.510385036,0,,,,,,,
myounghun,pre,3,4,4,5,5,1,102.1022129,1.38382411,0,,,,,,,
myounghun,pre,3,5,2,4,4,1,77.8726418,2.541450024,506.4472439,,,,,,,
myounghun,post,3,1,2,1,1,1,58.75930715,1.798408031,0,OO,0,0,1,0,1,
myounghun,post,3,2,1,3,3,1,88.42290998,1.310492039,0,OO,0,0,1,0,1,
myounghun,post,3,3,4,4,4,1,67.10415888,1.929448128,0,OO,0,0,1,0,1,
myounghun,post,3,4,4,4,4,1,66.20874691,1.936439037,0,OO,0,0,1,0,1,
myounghun,post,3,5,5,3,3,1,31.04919887,1.304478168,440.4808471,OO,0,0,1,0,1,
myounghun,pre,4,1,1,2,4,0,45.48749089,2.671301126,0,,,,,,,
myounghun,pre,4,2,5,4,4,1,58.84633493,1.071593046,0,,,,,,,
myounghun,pre,4,3,5,3,3,1,34.88540602,2.312523842,0,,,,,,,
myounghun,pre,4,4,1,5,1,0,70.06587195,2.463563204,0,,,,,,,
myounghun,pre,4,5,3,2,2,1,22.1482358,1.609366179,322.191828,,,,,,,
myounghun,post,4,1,5,5,5,1,62.20109606,1.568355083,0,XO,1,0,,,1,
myounghun,post,4,2,4,5,5,1,247.8815498,3.22273016,0,OO,0,0,1,0,1,
myounghun,post,4,3,5,2,3,0,30.40488696,1.775405884,0,OX,0,1,,,1,
myounghun,post,4,4,2,3,1,0,172.7411311,1.883427143,0,XX,0,0,0,1,1,
myounghun,post,4,5,4,1,1,1,22.56911182,1.937085152,665.7417731,OO,0,0,1,0,1,
myounghun,pre,5,1,3,3,2,0,46.44602704,2.121484995,0,,,,,,,
myounghun,pre,5,2,5,1,1,1,59.30376101,1.655375957,0,,,,,,,
myounghun,pre,5,3,5,4,5,0,46.30988598,3.607952833,0,,,,,,,
myounghun,pre,5,4,3,2,3,0,33.19683123,1.617367983,0,,,,,,,
myounghun,pre,5,5,1,1,3,0,25.1546979,1.704492092,244.267149,,,,,,,
myounghun,post,5,1,5,1,1,1,14.96950006,1.306362152,0,XO,1,0,,,1,
myounghun,post,5,2,5,4,4,1,59.85464001,1.935934782,0,OO,0,0,1,0,1,
myounghun,post,5,3,5,5,5,1,8.905017138,1.247282982,0,XO,1,0,,,1,
myounghun,post,5,4,5,2,4,0,22.38709807,1.128253937,0,XX,0,0,0,1,1,
myounghun,post,5,5,5,4,4,1,37.47649288,1.665378094,252.995105,XO,1,0,,,1,
songmin,pre,1,1,2,4,2,0,44.04998112,7.799752951,0,,,,,,,
songmin,pre,1,2,2,3,5,0,55.61562705,5.712700844,0,,,,,,,
songmin,pre,1,3,1,5,1,0,48.94074702,3.400901079,0,,,,,,,
songmin,pre,1,4,1,5,2,0,63.17431307,3.129709005,0,,,,,,,
songmin,pre,1,5,1,4,1,0,45.29626393,3.432327986,330.774626,,,,,,,
songmin,post,1,1,5,5,4,0,49.3561852,2.343617916,0,XX,0,0,0,1,1,
songmin,post,1,2,4,2,2,1,41.16632509,2.120479822,0,XO,1,0,,,1,
songmin,post,1,3,4,2,2,1,172.9871941,2.465828896,0,XO,1,0,,,1,
songmin,post,1,4,3,3,3,1,84.39446521,2.617025852,0,XO,1,0,,,1,
songmin,post,1,5,4,4,4,1,93.79494309,2.608590841,480.2707989,XO,1,0,,,1,
songmin,pre,2,1,1,4,4,1,54.51134682,2.447561026,0,,,,,,,
songmin,pre,2,2,4,4,4,1,27.87631607,1.913478136,0,,,,,,,
songmin,pre,2,3,2,5,5,1,57.19578481,2.032647133,0,,,,,,,
songmin,pre,2,4,1,2,3,0,61.62395787,3.074697971,0,,,,,,,
songmin,pre,2,5,1,4,5,0,140.7202601,2.528584957,374.3742731,,,,,,,
songmin,post,2,1,4,4,4,1,61.81500697,1.952239037,0,OO,0,0,1,,1,
songmin,post,2,2,5,3,3,1,33.41156888,2.256510973,0,OO,0,0,1,,1,
songmin,post,2,3,4,1,1,1,70.59499216,3.047690868,0,OO,0,0,1,,1,
songmin,post,2,4,4,5,5,1,22.79466915,3.095517874,0,XO,1,0,,,1,
songmin,post,2,5,5,4,4,1,51.24060798,2.87966013,424.576791,XO,1,0,,,1,
songmin,pre,3,1,4,3,3,1,81.29889488,2.767499924,0,,,,,,,
songmin,pre,3,2,2,1,1,1,27.29218102,2.352126122,0,,,,,,,
songmin,pre,3,3,3,4,4,1,59.72756386,3.492794037,0,,,,,,,
songmin,pre,3,4,2,5,5,1,107.0732541,2.566797972,0,,,,,,,
songmin,pre,3,5,2,4,4,1,66.94794607,1.623677969,379.2670691,,,,,,,
songmin,post,3,1,4,1,1,1,66.41104889,2.695691109,0,OO,0,0,1,,1,
songmin,post,3,2,3,3,3,1,122.3261199,2.53857398,0,OO,0,0,1,,1,
songmin,post,3,3,4,4,4,1,93.70924115,2.927680016,0,OO,0,0,1,,1,
songmin,post,3,4,4,5,4,0,79.25794888,2.200498104,0,OX,0,1,,,1,
songmin,post,3,5,5,3,3,1,18.59621286,3.124711037,410.114876,OO,0,0,1,,1,
songmin,pre,4,1,2,4,4,1,92.6336391,4.120934963,0,,,,,,,
songmin,pre,4,2,3,4,4,1,78.51685309,2.151795864,0,,,,,,,
songmin,pre,4,3,4,3,3,1,42.68566799,1.864422083,0,,,,,,,
songmin,pre,4,4,1,3,1,0,99.70855308,2.176499844,0,,,,,,,
songmin,pre,4,5,2,2,2,1,52.31085205,2.487941027,393.648124,,,,,,,
songmin,post,4,1,4,5,5,1,84.84121799,5.047143221,0,OO,0,0,1,,1,
songmin,post,4,2,4,5,5,1,182.583447,2.16049099,0,OO,0,0,1,,1,
songmin,post,4,3,4,2,3,0,72.92352104,2.096474886,0,OX,0,1,,,1,
songmin,post,4,4,4,1,1,1,93.17210507,2.096750021,0,XO,1,0,,,1,
songmin,post,4,5,2,3,1,0,55.95300388,1.942536116,655.270895,OX,0,1,,,1,
songmin,pre,5,1,2,4,2,0,39.47694397,1.818419218,0,,,,,,,
songmin,pre,5,2,3,1,1,1,84.34506178,2.023410082,0,,,,,,,
songmin,pre,5,3,3,4,5,0,60.53272104,3.308362007,0,,,,,,,
songmin,pre,5,4,2,2,3,0,106.477628,3.736860037,0,,,,,,,
songmin,pre,5,5,1,1,3,0,181.6562679,2.39172411,508.069066,,,,,,,
songmin,post,5,1,3,1,1,1,33.28554487,2.568031073,0,XO,1,0,,,1,
songmin,post,5,2,4,4,4,1,40.16213202,1.713812113,0,OO,0,0,1,,1,
songmin,post,5,3,4,5,5,1,25.76515198,3.160303831,0,XO,1,0,,,1,
songmin,post,5,4,5,4,4,1,49.45520306,2.623594046,0,XO,1,0,,,1,
songmin,post,5,5,4,4,4,1,51.2626121,1.712391853,399.8722749,XO,1,0,,,1,
sooyeon,pre,1,1,2,2,2,1,80.04212999,6.505599976,0,,,,,,,
sooyeon,pre,1,2,2,4,5,0,85.99544096,2.95117712,0,,,,,,,
sooyeon,pre,1,3,3,3,1,0,40.14237905,2.583588839,0,,,,,,,
sooyeon,pre,1,4,3,5,2,0,70.52897811,1.720388889,0,,,,,,,
sooyeon,pre,1,5,3,2,1,0,67.10320115,2.2575109,382.0227139,,,,,,,
sooyeon,post,1,1,5,2,4,0,14.2656002,3.392898798,0,OX,0,1,,,1,
sooyeon,post,1,2,5,2,2,1,55.59912801,1.847784042,0,XO,1,0,,,1,
sooyeon,post,1,3,2,5,2,0,194.202991,2.191457987,0,XX,0,0,0,1,1,
sooyeon,post,1,4,3,3,3,1,62.16208005,2.791665077,0,XO,1,0,,,1,
sooyeon,post,1,5,2,1,4,0,157.3876529,3.089153051,572.985472,XX,0,0,0,1,1,
sooyeon,pre,2,1,3,4,4,1,38.56979609,2.095957041,0,,,,,,,
sooyeon,pre,2,2,4,4,4,1,44.87040591,1.871432066,0,,,,,,,
sooyeon,pre,2,3,3,5,5,1,27.45928001,1.728389978,0,,,,,,,
sooyeon,pre,2,4,3,3,3,1,79.38698506,1.664376974,0,,,,,,,
sooyeon,pre,2,5,2,5,5,1,118.1837358,2.455958128,332.913636,,,,,,,
sooyeon,post,2,1,3,4,4,1,107.6517801,3.823374033,0,OO,0,0,1,,1,
sooyeon,post,2,2,4,3,3,1,50.28539085,1.735392094,0,OO,0,0,1,,1,
sooyeon,post,2,3,3,3,1,0,63.18631291,1.736395121,0,OX,0,1,,,1,
sooyeon,post,2,4,3,5,5,1,45.21424294,1.839421034,0,OO,0,0,1,,1,
sooyeon,post,2,5,4,4,4,1,80.78312111,1.592363834,580.834543,OO,0,0,1,,1,
sooyeon,pre,3,1,3,3,3,1,59.18840909,2.825644016,0,,,,,,,
sooyeon,pre,3,2,3,4,1,0,41.38150001,2.22386384,0,,,,,,,
sooyeon,pre,3,3,3,4,4,1,102.2531631,1.902430058,0,,,,,,,
sooyeon,pre,3,4,2,5,5,1,122.5487609,2.80587697,0,,,,,,,
sooyeon,pre,3,5,2,5,4,0,86.58861804,2.646751881,889.561631,,,,,,,
sooyeon,post,3,1,2,1,1,1,54.61338902,2.817783833,0,OO,0,0,1,,1,
sooyeon,post,3,2,3,1,3,0,58.28720403,2.120481014,0,XX,0,0,0,1,1,
sooyeon,post,3,3,2,4,4,1,96.26880693,2.13548708,0,OO,0,0,1,,1,
sooyeon,post,3,4,3,4,4,1,100.4447551,1.664602041,0,OO,0,0,1,,1,
sooyeon,post,3,5,4,3,3,1,23.92363787,2.023872137,579.2761891,XO,1,0,,,1,
sooyeon,pre,4,1,2,4,4,1,59.22339702,3.033141851,0,,,,,,,
sooyeon,pre,4,2,3,5,4,0,57.60705113,2.615592003,0,,,,,,,
sooyeon,pre,4,3,3,5,3,0,64.57563591,2.618000984,0,,,,,,,
sooyeon,pre,4,4,3,5,1,0,88.4014051,1.704391003,0,,,,,,,
sooyeon,pre,4,5,3,2,2,1,25.13409185,2.214509964,945.7306728,,,,,,,
sooyeon,post,4,1,4,5,5,1,104.2135811,1.576358795,0,OO,0,0,1,,1,
sooyeon,post,4,2,4,5,5,1,135.8847811,1.65951395,0,XO,1,0,,,1,
sooyeon,post,4,3,3,3,3,1,68.22445512,1.728391886,0,XO,1,0,,,1,
sooyeon,post,4,4,3,1,1,1,31.70918393,1.555353165,0,XO,1,0,,,1,
sooyeon,post,4,5,3,1,1,1,50.47707486,1.428706169,473.1944351,OO,0,0,1,,1,
sooyeon,pre,5,1,2,4,2,0,47.31572008,3.295744896,0,,,,,,,
sooyeon,pre,5,2,2,1,1,1,81.85895801,1.84842205,0,,,,,,,
sooyeon,pre,5,3,3,4,5,0,65.80093002,1.624372005,0,,,,,,,
sooyeon,pre,5,4,2,5,3,0,99.02143002,1.991451979,0,,,,,,,
sooyeon,pre,5,5,1,3,3,1,70.80104089,3.327876091,492.4233611,,,,,,,
sooyeon,post,5,1,4,1,1,1,41.76146507,2.360682011,0,XO,1,0,,,1,
sooyeon,post,5,2,3,4,4,1,42.1035428,2.810636997,0,OO,0,0,1,,1,
sooyeon,post,5,3,3,5,5,1,33.82966304,1.660377026,0,XO,1,0,,,1,
sooyeon,post,5,4,3,4,4,1,107.11643,1.919434071,0,XO,1,0,,,1,
sooyeon,post,5,5,3,1,4,0,77.08646297,1.600836992,427.9103451,OX,0,1,,,1,
yebon,pre,1,1,3,1,2,0,51.38564396,4.563036203,0,,,,,,,
yebon,pre,1,2,3,1,5,0,85.1062789,1.697350025,0,,,,,,,
yebon,pre,1,3,3,1,1,1,64.12952805,2.057467937,0,,,,,,,
yebon,pre,1,4,3,2,2,1,65.7268889,2.664108038,0,,,,,,,
yebon,pre,1,5,1,5,1,0,81.23440099,3.32172513,384.6654251,,,,,,,
yebon,post,1,1,4,4,4,1,114.6679828,3.580574989,0,XO,1,0,,,1,
yebon,post,1,2,4,4,2,0,88.974154,2.308505058,0,XX,0,0,0,1,1,
yebon,post,1,3,1,2,2,1,187.876559,1.942862988,0,OO,0,0,1,,1,
yebon,post,1,4,5,3,3,1,74.52859592,2.36908412,0,OO,0,0,1,,1,
yebon,post,1,5,4,4,4,1,120.5524571,2.29851985,743.6830649,XO,1,0,,,1,
yebon,pre,2,1,2,1,4,0,123.151901,2.096476078,0,,,,,,,
yebon,pre,2,2,4,4,4,1,42.82226586,2.455554962,0,,,,,,,
yebon,pre,2,3,2,4,5,0,83.722965,3.114821196,0,,,,,,,
yebon,pre,2,4,3,2,3,0,113.0761869,2.216505051,0,,,,,,,
yebon,pre,2,5,1,2,5,0,114.567766,1.646997929,511.057384,,,,,,,
yebon,post,2,1,5,4,4,1,45.52936697,2.777191877,0,XO,1,0,,,1,
yebon,post,2,2,3,3,3,1,70.33634806,2.545584917,0,OO,0,0,1,,1,
yebon,post,2,3,3,3,1,0,110.5910971,1.737393856,0,XX,0,0,0,1,1,
yebon,post,2,4,4,5,5,1,53.51813817,2.128483057,0,XO,1,0,,,1,
yebon,post,2,5,3,4,4,1,117.1895728,2.264513016,433.6883209,XO,1,0,,,1,
yebon,pre,3,1,3,3,3,1,106.0110009,2.0390172,0,,,,,,,
yebon,pre,3,2,1,2,1,0,88.99841094,2.287739992,0,,,,,,,
yebon,pre,3,3,3,4,4,1,45.01533198,1.66386199,0,,,,,,,
yebon,pre,3,4,2,5,5,1,85.70760798,2.119790077,0,,,,,,,
yebon,pre,3,5,2,3,4,0,93.02707601,1.562177896,460.9009609,,,,,,,
yebon,post,3,1,1,1,1,1,102.652257,2.041462183,0,OO,0,0,1,,1,
yebon,post,3,2,3,3,3,1,124.0811059,2.125838041,0,XO,1,0,,,1,
yebon,post,3,3,1,4,4,1,114.8241649,1.455331087,0,OO,0,0,1,,1,
yebon,post,3,4,1,5,4,0,219.718827,2.109503984,0,OX,0,1,,,1,
yebon,post,3,5,5,3,3,1,47.24054289,2.182496071,634.24177,XO,1,0,,,1,
yebon,pre,4,1,2,4,4,1,100.6214852,2.153641939,0,,,,,,,
yebon,pre,4,2,1,4,4,1,150.355082,3.735844851,0,,,,,,,
yebon,pre,4,3,3,3,3,1,91.26767397,1.619644165,0,,,,,,,
yebon,pre,4,4,1,4,1,0,117.1815438,1.824416161,0,,,,,,,
yebon,pre,4,5,3,2,2,1,28.17238188,2.958670139,513.1985431,,,,,,,
yebon,post,4,1,5,5,5,1,123.299932,2.873653889,0,OO,0,0,1,,1,
yebon,post,4,2,4,5,5,1,340.652226,1.744395018,0,OO,0,0,1,,1,
yebon,post,4,3,2,5,3,0,98.70120692,2.224136114,0,OX,0,1,,,1,
yebon,post,4,4,4,2,1,0,79.64329386,1.615871191,0,XX,0,0,0,1,1,
yebon,post,4,5,5,3,1,0,58.32721186,2.249515057,730.4055879,OX,0,1,,,1,
yebon,pre,5,1,3,4,2,0,34.68726707,1.436469078,0,,,,,,,
yebon,pre,5,2,1,2,1,0,74.42586398,2.13548398,0,,,,,,,
yebon,pre,5,3,1,4,5,0,79.19094205,2.382542849,0,,,,,,,
yebon,pre,5,4,1,2,3,0,137.645184,1.630368948,0,,,,,,,
yebon,pre,5,5,1,3,3,1,96.21879911,2.505568027,2328.113948,,,,,,,
yebon,post,5,1,1,3,1,0,79.02790713,2.515621901,0,XX,0,0,0,1,1,
yebon,post,5,2,5,4,4,1,49.16209602,2.199500084,0,XO,1,0,,,1,
yebon,post,5,3,4,5,5,1,42.03070903,2.28351593,0,XO,1,0,,,1,
yebon,post,5,4,3,3,4,0,80.2231729,1.81140995,0,XX,0,0,0,1,1,
yebon,post,5,5,3,4,4,1,38.65375614,1.606541872,428.786325,OO,0,0,1,,1,
,,,,,,,,,,,,56,16,55,23,150,
,,,,,,,,,,,,,,,150,,
